State_UT,Fraud_Total,Identity_Theft,Cyber_Stalking,Fake_Profile,Defamation_Morphing,Online_Gambling,Total_Cases
Andhra Pradesh,593,68,147,18,3,1,2528
Arunachal Pradesh,0,4,0,0,0,0,78
Assam,1,26,0,0,0,0,408
Bihar,4020,57,73,109,0,8,6380
Chhattisgarh,74,1,4,2,0,8,660
Goa,0,9,0,19,0,0,77
Gujarat,80,155,27,19,0,3,1592
Haryana,215,126,17,8,0,0,1815
Himachal Pradesh,2,4,0,0,0,0,148
Jharkhand,57,703,7,1,0,0,1423
Karnataka,0,1191,0,0,0,0,21993
Kerala,86,39,45,5,0,0,2962
Madhya Pradesh,96,35,59,2,1,4,1081
Maharashtra,2827,544,403,23,4,7,9922
Manipur,0,0,0,0,0,0,5
Meghalaya,0,6,0,4,0,0,97
Mizoram,0,0,0,0,0,0,50
Nagaland,0,2,0,0,0,0,14
Odisha,1546,26,0,0,0,0,2501
Punjab,95,36,9,4,2,0,888
Rajasthan,78,20,47,6,1,2,1527
Sikkim,0,0,0,0,0,0,15
Tamil Nadu,684,45,34,11,5,0,5793
Telangana,18922,58,298,16,11,4,27230
Tripura,0,4,0,0,0,0,33
Uttar Pradesh,165,446,34,37,1,0,11073
Uttarakhand,2,16,2,0,0,0,543
West Bengal,29,5,12,0,0,0,282
A&N Islands,0,2,1,0,0,0,28
Chandigarh,76,4,2,1,0,0,116
D&N Haveli and Daman & Diu,0,0,0,0,0,0,5
Delhi,110,29,18,0,0,0,404
Jammu & Kashmir,0,5,1,0,0,0,114
Ladakh,0,1,0,0,0,0,1
Lakshadweep,0,0,0,0,0,0,0
Puducherry,0,1,0,0,0,0,142
